CLNDN	Occurrence
Congenital_muscular_dystrophy-dystroglycanopathy_with_brain_and_eye_anomalies_type_A5	30
Van_der_Woude_syndrome_2	30
X-linked_mental_retardation_with_marfanoid_habitus_syndrome	30
Warsaw_breakage_syndrome	30
Familial_isolated_arrhythmogenic_right_ventricular_dysplasia	30
Dystrophinopathies	30
Motor_delay	30
Leucine-induced_hypoglycemia	30
Hypoplasia_of_the_corpus_callosum	30
Brunner_syndrome	30
Sotos_syndrome	30
Lewy_body_dementia	30
Autosomal_recessive_osteopetrosis_4	30
Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G	30
Slowed_nerve_conduction_velocity	30
Microcephaly_17	30
TTN-Related_Disorders	30
Schneckenbecken_dysplasia	30
Gaucher_disease_type_3C	30
Amyloidosis	30
Keratitis-ichthyosis-deafness_syndrome	30
Cataract_21	30
Septo-optic_dysplasia_sequence	30
Ovarian_cancer	30
Hypogonadotropic_hypogonadism_24_without_anosmia	30
Achondrogenesis_type_II	30
Abnormality_of_the_skeletal_system	30
Macrocephaly_with_multiple_epiphyseal_dysplasia_and_distinctive_facies	30
Branchiooculofacial_syndrome	30
Craniofrontonasal_syndrome	30
Craniosynostosis_3	30
Hyperphosphatasia_with_mental_retardation_syndrome_5	29
Diamond-Blackfan_anemia_5	29
Primary_pulmonary_hypertension_2	29
Mucolipidosis	29
Corneal_Dystrophy	29
Malignant_tumor_of_testis	29
Small_for_gestational_age	29
Arthrogryposis_multiplex_congenita_distal	29
Susceptibility_to_malaria	29
Short_QT_syndrome_1	29
Diarrhea_5	29
Optic_atrophy_with_or_without_deafness	29
Familial_aortopathy	29
Abnormal_cerebral_white_matter_morphology	29
Palmoplantar_keratoderma-deafness_syndrome	29
Patterned_dystrophy_of_the_retinal_pigment_epithelium	29
Chondrocalcinosis	29
Myoclonus	29
CONTRACTURES	29
Colon_cancer	29
Craniometadiaphyseal_dysplasia_wormian_bone_type	29
Perrault_syndrome_4	29
Human_HOXA1_syndromes	29
Hypotension	29
Autism_15	29
Long_QT_syndrome_14	29
Postaxial_polydactyly_type_A1	29
Retinitis_pigmentosa_41	28
Primary_hypertrophic_osteoarthropathy	28
Leukemia	28
Lethal_osteosclerotic_bone_dysplasia	28
Dilated_cardiomyopathy_1GG	28
Optic_Atrophy	28
Hypogonadism_with_anosmia	28
Benign_recurrent_intrahepatic_cholestasis_type_2	28
Symphalangism-brachydactyly_syndrome	28
Phosphoglycerate_kinase_1_deficiency	28
Intellectual_developmental_disorder_and_retinitis_pigmentosa%3B_IDDRP	28
Clubfoot	28
Malignant_tumor_of_esophagus	28
Methemoglobinemia	28
Familial_hypertrophic_cardiomyopathy_8	28
Polycystic_lipomembranous_osteodysplasia_with_sclerosing_leukoencephalopathy_2	28
Stocco_dos_Santos_syndrome	28
Neonatal_diabetes_mellitus	28
Pulmonary_arterial_hypertension_associated_with_congenital_heart_disease	28
Infertility_associated_with_multi-tailed_spermatozoa_and_excessive_DNA	28
Common_Variable_Immune_Deficiency	28
Autosomal_recessive_agammaglobulinemia_1	28
Meniere_disease	28
Holoprosencephaly_4	28
Nestor-Guillermo_progeria_syndrome	28
Leukodystrophy_and_acquired_microcephaly_with_or_without_dystonia	28
N-terminal_acetyltransferase_deficiency	28
Thyroid_hormone_resistance_syndrome	28
Neurodevelopmental_disorder-craniofacial_dysmorphism-cardiac_defect-hip_dysplasia_syndrome_due_to_a_point_mutation	27
Congenital_disorder_of_glycosylation_type_1x	27
Cardiofaciocutaneous_syndrome_4	27
Isolated_growth_hormone_deficiency	27
3-methylglutaconic_aciduria_type_V	27
Brittle_cornea_syndrome_2	27
Bestrophinopathy	27
Brugada_syndrome_6	27
Nager_syndrome	27
Camptodactyly-arthropathy-coxa_vara-pericarditis_syndrome	27
Lethal_Encephalopathy	27
Oromandibular-limb_hypogenesis_spectrum	27
Combined_oxidative_phosphorylation_deficiency_31	27
Cataract_23	27
Acute_aortic_dissection	27
Attention_deficit_hyperactivity_disorder	27
Hypomagnesemia	27
Mutilating_keratoderma	27
Congenital_ocular_coloboma	27
Hyperphosphatasia_with_mental_retardation_syndrome_4	27
Childhood-onset_autosomal_recessive_slowly_progressive_spinocerebellar_ataxia	27
Primary_pulmonary_hypertension_3	27
TARDBP-related_frontotemporal_dementia	27
Cerebellar_vermis_hypoplasia	27
FG_syndrome_2	27
Megalencephaly-capillary_malformation-polymicrogyria_syndrome	27
Corticosteroids_response	27
Coloboma	27
von_Willebrand_disease_type_2	27
Basel-Vanagaite-Smirin-Yosef_syndrome	27
Peroxisome_biogenesis_disorder_5B	27
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus_syndrome_2	26
Cryptorchidism	26
Schwannomatosis_2	26
Aural_atresia	26
MYH7-related_late-onset_scapuloperoneal_muscular_dystrophy	26
Oculocutaneous_albinism_type_1B	26
T-cell_immunodeficiency_with_epidermodysplasia_verruciformis	26
Uridine_5-prime_monophosphate_hydrolase_deficiency	26
Nasopharyngeal_Neoplasms	26
Delayed_gross_motor_development	26
Brain_atrophy	26
Osteopathia_striata_with_cranial_sclerosis	26
Developmental_regression	26
Autosomal_recessive_congenital_ichthyosis_4A	26
Coffin-Siris_syndrome_8	26
Spastic_paraplegia_72	26
Rheumatoid_arthritis	26
Jackson-Weiss_syndrome	26
Caudal_dysgenesis_syndrome	26
Heinz_body_anemia	26
Combined_oxidative_phosphorylation_deficiency_5	26
6-Pyruvoyl-tetrahydrobiopterin_synthase_deficiency	26
Alagille_syndrome_2	26
Pilomatrixoma	26
Agammaglobulinemia_8	26
Pseudohypoparathyroidism	26
Zonular_Pulverulent_Cataract	26
Huntington_disease-like_1	26
Pituitary_stalk_interruption_syndrome	26
Intellectual_developmental_disorder_with_persistence_of_fetal_hemoglobin	26
Kaufman_oculocerebrofacial_syndrome	26
Keratosis_palmoplantaris_striata_II	26
Combined_oxidative_phosphorylation_deficiency_23	26
Charcot-Marie-Tooth_disease_axonal_type_2K	26
Global_developmental_delay_with_or_without_impaired_intellectual_development	26
Combined_oxidative_phosphorylation_deficiency_24	25
CODAS_syndrome	25
Distichiasis-lymphedema_syndrome	25
Microcephaly_18	25
ivacaftor_response_-_Efficacy	25
Knuckle_pads	25
Mirror_movements_1	25
Blepharocheilodontic_syndrome_1	25
Atrophia_bulborum_hereditaria	25
Nail_disorder	25
Skraban-Deardorff_syndrome	25
Neurodevelopmental_disorder_with_brain_anomalies_and_with_or_without_vertebral_or_cardiac_anomalies	25
Epidermal_nevus	25
Retinitis_pigmentosa_14	25
Mental_retardation_49	25
Pituitary_adenoma	25
Fatal_Infantile_Cardioencephalomyopathy	25
Apparent_mineralocorticoid_excess	25
Joint_hypermobility	25
Retinitis_pigmentosa_2	25
Chronic_obstructive_pulmonary_disease	25
Premature_ovarian_failure_6	25
Hereditary_lymphedema_type_I	25
Ventricular_septal_defect	25
Moderate_global_developmental_delay	25
Yunis-Varon_syndrome	25
Absent_speech	24
Exudative_vitreoretinopathy_4	24
Pseudohypoparathyroidism_type_I_A	24
Juvenile_primary_lateral_sclerosis	24
Congenital_disorder_of_glycosylation_type_2F	24
Alazami_syndrome	24
Orofaciodigital_syndrome_xiv	24
Familial_adenomatous_polyposis_3	24
Acroerythrokeratoderma	24
Specific_learning_disability	24
Medullary_thyroid_carcinoma	24
Vitamin_K-Dependent_Clotting_Factors	24
Hartsfield_syndrome	24
Infantile_liver_failure_syndrome_3	24
Partial_androgen_insensitivity_syndrome	24
Congenital_disorder_of_glycosylation_type_1O	24
Crigler-Najjar_syndrome_type_1	24
Shashi-Pena_syndrome	24
Charcot-Marie-Tooth	24
Beaulieu-Boycott-Innes_syndrome	24
Atrial_septal_defect_3	24
Pseudopseudohypoparathyroidism	24
Lethal_congenital_contractural_syndrome_Finnish_type	24
Orofacial_cleft_10	24
CEBALID_syndrome	24
Vitamin_D-dependent_rickets_type_1A	24
Ataxia-oculomotor_apraxia_4	24
Cohen-Gibson_syndrome	24
Diamond-Blackfan_anemia_9	24
Migraine	24
Neurodevelopmental_disorder_with_seizures_and_nonepileptic_hyperkinetic_movements	24
Cerebrooculofacioskeletal_syndrome_3	24
Neurodevelopmental_disorder_with_involuntary_movements	24
Retinitis_pigmentosa_33	24
Iron-refractory_iron_deficiency_anemia	24
Achromatopsia_7	24
Primary_aldosteronism	24
Van_Maldergem_syndrome_1	24
Branchiootorenal_Spectrum_Disorders	24
Congenital_Indifference_to_Pain	24
Beck-Fahrner_syndrome	24
anhydramnios	24
Congenital_anomalies_of_kidney_and_urinary_tract_syndrome_with_or_without_hearing_loss	24
Retinitis_pigmentosa_7	24
Plasminogen_deficiency	24
Multisystem_inflammatory_syndrome_in_children	24
Hydrolethalus_syndrome_2	24
Seckel_syndrome_7	23
Spinocerebellar_Ataxia_Type_15	23
Bicuspid_aortic_valve	23
Intellectual_developmental_disorder_with_cardiac_defects_and_dysmorphic_facies	23
Structural_heart_defects_and_renal_anomalies_syndrome	23
Megacolon	23
Spinocerebellar_ataxia_40	23
Autosomal_recessive_cutis_laxa_type_2B	23
Scapuloperoneal_myopathy	23
Localized_epidermolysis_bullosa_simplex	23
Hyper-IgE_syndrome	23
You-Hoover-Fong_syndrome	23
Feingold_syndrome_1	23
Glioma_susceptibility_1	23
Dowling-Degos_disease_2	23
Roberts_syndrome	23
Orofacial_cleft	23
Cataract_3	23
Familial_cold_autoinflammatory_syndrome	23
Galloway-Mowat_syndrome_1	23
Intellectual_developmental_disorder_with_seizures_and_language_delay	23
Joint_laxity	23
Elliptocytosis_1	23
VACTERL_association_with_hydrocephalus	23
Astrocytoma	23
Micrognathia	23
Primary_congenital_glaucoma	23
Spasticity	23
Hypofibrinogenemia	23
Diencephalic-mesencephalic_junction_dysplasia_syndrome_1	23
Hereditary_spastic_paraplegia_12	23
Poirier-Bienvenu_neurodevelopmental_syndrome	23
Cataract_41	23
Hyperlipidemia	23
Glucocorticoid_deficiency_4_with_or_without_mineralocorticoid_deficiency	23
Diabetes_mellitus_type_2	23
Paget_disease_of_bone	23
Ventriculomegaly_with_cystic_kidney_disease	23
Dysarthria	23
Retinitis_pigmentosa_74	23
Dandy-Walker_syndrome	23
Miyoshi_muscular_dystrophy_3	23
Thanatophoric_dysplasia_type_1	23
Tenorio_syndrome	23
Microcephaly-capillary_malformation_syndrome	23
Cerebral_arteriovenous_malformation	23
Van_den_Ende-Gupta_syndrome	22
Premature_chromatid_separation_trait	22
Childhood_absence_epilepsy	22
Adenylate_kinase_deficiency	22
Infantile_convulsions_and_choreoathetosis	22
Congenital_NAD_deficiency_disorder	22
CARASIL_syndrome	22
Epidermolysis_bullosa	22
Oguchi_disease_2	22
Hypertensive_disorder	22
Intellectual_developmental_disorder_with_or_without_epilepsy_or_cerebellar_ataxia	22
Neutral_1_amino_acid_transport_defect	22
Nephrolithiasis	22
Azoospermia	22
Opsismodysplasia	22
Neu-Laxova_syndrome_1	22
Ovarian_dysgenesis_2	22
Pleuropulmonary_blastoma	22
Intellectual_developmental_disorder_with_gastrointestinal_difficulties_and_high_pain_threshold	22
Anterior_segment_dysgenesis_1	22
Sinoatrial_node_dysfunction_and_deafness	22
Combined_T_and_B_cell_immunodeficiency	22
Dent_disease	22
Atrial_septal_defect_4	22
Autism_17	22
Late-onset_citrullinemia	22
Immunodeficiency_11b_with_atopic_dermatitis	22
Joubert_syndrome_and_related_disorders	22
Syndromic_X-linked_intellectual_disability_Siderius_type	22
Galloway-Mowat_syndrome_3	22
Syndromic_X-linked_intellectual_disability_Snyder_type	22
Centronuclear_myopathy	22
Cerebral_arteriopathy	22
Cataract_16	22
Polymicrogyria_with_or_without_vascular-type_ehlers-danlos_syndrome	22
Diamond-Blackfan_anemia_7	22
Visual_impairment	22
Spastic_paraplegia_62	21
Spastic_paraplegia_and_psychomotor_retardation_with_or_without_seizures	21
Autosomal_dominant_osteopetrosis_2	21
Cardiofaciocutaneous_syndrome_3	21
Focal_dermal_hypoplasia	21
Lymphoproliferative_disorder	21
Myeloproliferative/lymphoproliferative_neoplasms	21
Antley-Bixler_syndrome_with_genital_anomalies_and_disordered_steroidogenesis	21
intellectual_deficiency	21
Testicular_regression_syndrome	21
Bardet-Biedl_syndrome_5	21
Childhood-Onset_Schizophrenia	21
Endocardial_fibroelastosis	21
Age-related_macular_degeneration_8	21
Cafe_au_lait_spots	21
Kniest_dysplasia	21
Waardenburg_syndrome_type_4A	21
Nephronophthisis-Like_Nephropathy	21
Infertility	21
Cystine_urolithiasis	21
Pulmonary_Surfactant_Metabolism_Dysfunction	21
Weiss-kruszka_syndrome	21
Primary_autosomal_recessive_microcephaly_10	21
Ataxia-pancytopenia_syndrome	21
Autosomal_recessive_cutis_laxa_type_IA	21
FRAXE	21
Optic_atrophy	21
Glioma_susceptibility_2	21
Ascending_aortic_dissection	21
Selective_tooth_agenesis	21
Neurodevelopmental_disorder_with_language_impairment_and_behavioral_abnormalities	21
Proliferative_vasculopathy_and_hydranencephaly-hydrocephaly_syndrome	21
Spinal_Muscular_Atrophy	21
Intestinal_pseudoobstruction	21
Lipid_proteinosis	21
Spastic_paraplegia_46	21
Intellectual_developmental_disorder_61	21
Acrocephalosyndactyly_type_I	21
Cataract_13_with_adult_i_phenotype	21
Schizophrenia_17	21
Meier-Gorlin_syndrome_4	21
Reduced_protein_C_activity	21
Carcinoma_of_gallbladder	21
Developmental_and_epileptic_encephalopathy_92	21
Cerebellar_ataxia-areflexia-pes_cavus-optic_atrophy-sensorineural_hearing_loss_syndrome	20
Mitochondrial_myopathy-cerebellar_ataxia-pigmentary_retinopathy_syndrome	20
Dermatitis	20
Laurence-Moon_syndrome	20
Focal_segmental_glomerulosclerosis_1	20
Spondyloperipheral_dysplasia-short_ulna_syndrome	20
Secondary_microcephaly	20
Multiple_renal_cysts	20
Pontocerebellar_hypoplasia_type_2A	20
Isolated_GnRH_Deficiency	20
Angioedema	20
Simpson-Golabi-Behmel_syndrome_type_1	20
HSD10_mitochondrial_disease	20
Combined_oxidative_phosphorylation_deficiency_15	20
Microcephaly_16	20
Deep_venous_thrombosis	20
Renal_hypomagnesemia_2	20
Rahman_syndrome	20
Heart_failure	20
Nemaline_myopathy_11	20
Diarrhea_8	20
Congenital_anomalies_of_kidney_and_urinary_tract_1	20
Factor_H_deficiency	20
Hypertriglyceridemia	20
Interstitial_nephritis	20
Coronary_artery_disease	20
Congenital_heart_defects_and_skeletal_malformations_syndrome	20
Nephrocalcinosis	20
Colorectal_cancer_1	20
DEVELOPMENTAL_DELAY	20
Autism_5	20
DOORS_syndrome	20
Behcet_disease	20
Diabetes_Mellitus	20
Hereditary_angioedema_with_normal_C1Inh	20
Warfarin_response	20
Glycosylphosphatidylinositol_biosynthesis_defect_15	20
Aminoacylase_1_deficiency	20
Epithelial_recurrent_erosion_dystrophy	20
Intellectual_developmental_disorder_with_poor_growth_and_with_or_without_seizures_or_ataxia	20
Schizophrenia	20
Cancer_of_the_pancreas	20
Multiple_mitochondrial_dysfunctions_syndrome_2	20
Neurodevelopmental_disorders	20
X-linked_sideroblastic_anemia_with_ataxia	20
High_palate	20
Hypercoagulability_syndrome_due_to_glycosylphosphatidylinositol_deficiency	20
Mirage_syndrome	20
Spastic_paraplegia_56	20
Iron_overload	19
Achondroplasia	19
Transient_bullous_dermolysis_of_the_newborn	19
Joubert_syndrome_10	19
von_Willebrand_disease	19
Primary_autosomal_recessive_microcephaly_8	19
Specific_granule_deficiency_1	19
Familial_High_Density_Lipoprotein_Deficiency	19
Alpha-B_crystallinopathy	19
C1q_deficiency	19
Dent_disease_type_2	19
Mitochondrial_complex_2_deficiency	19
Neurodevelopmental_disorder_with_severe_motor_impairment_and_absent_language	19
Preimplantation_embryonic_lethality_2	19
Beta-thalassemia	19
Abnormal_pulmonary_interstitial_morphology	19
Prader-Willi_syndrome	19
Gingival_fibromatosis	19
Pilarowski-Bjornsson_syndrome	19
Trichomegaly-retina_pigmentary_degeneration-dwarfism_syndrome	19
Glycogen_storage_disease_IIIa	19
CIC-DUX_Sarcoma	19
Cataract_30	19
Spondylocostal_dysostosis_5	19
Iron_Overload	19
Primary_ciliary_dyskinesia_24	19
Pachyonychia_congenita_3	19
Lymphoma	19
Multiple_epiphyseal_dysplasia_6	19
Combined_oxidative_phosphorylation_deficiency_11	19
Growth_delay	19
Neurodevelopmental_disorder_with_coarse_facies_and_mild_distal_skeletal_abnormalities	19
Parkinson_disease_1	19
Chorea	19
Atelosteogenesis_type_1	19
Syndromic_neurodevelopmental_disorder	19
Synpolydactyly_1	19
Distal_arthrogryposis	19
Amelogenesis_imperfecta_type_1G	19
Cerebrooculofacioskeletal_syndrome_2	19
Optic_atrophy_7	19
Dilated_cardiomyopathy_1EE	19
Chronic_progressive_multiple_sclerosis	19
Abnormal_corpus_callosum_morphology	19
Thyroid_cancer	19
Periventricular_nodular_heterotopia_9	18
Microcephaly_20	18
Parkinson_disease_14	18
Abnormality_of_blood_and_blood-forming_tissues	18
Retinitis_pigmentosa_49	18
Early-onset_autosomal_dominant_Alzheimer_disease	18
Periventricular_nodular_heterotopia_7	18
Gastroesophageal_reflux	18
Polyps	18
Lethal_congenital_contracture_syndrome_11	18
Chondrodysplasia	18
Neurodevelopmental_disorder_and_structural_brain_anomalies_with_or_without_seizures_and_spasticity	18
CDKL5_disorder	18
Neurodevelopmental_disorder_and_language_delay_with_or_without_structural_brain_abnormalities	18
Brugada_syndrome_3	18
Child_syndrome	18
Adams-Oliver_syndrome	18
Erythroderma	18
Focal_segmental_glomerulosclerosis_9	18
Mandibuloacral_dysplasia	18
Hereditary_angioneurotic_edema	18
C_syndrome	18
Clinodactyly_of_the_5th_finger	18
Isolated_macular_dystrophy	18
Maturity-onset_diabetes_of_the_young_type_4	18
Cold-induced_sweating_syndrome_1	18
Bile_acid_synthesis_defect	18
Spinocerebellar_ataxia_47	18
Hypomyelination	18
Syndromic_X-linked_intellectual_disability_Lubs_type	18
Congestive_heart_failure	18
Parkinson_disease_23	18
Amyotrophic_Lateral_Sclerosis/Frontotemporal_Dementia	18
FG_syndrome_4	18
Pontocerebellar_hypoplasia_type_2B	18
Mitchell-Riley_syndrome	18
Al_Kaissi_syndrome	18
Hamartoma_of_hypothalamus	18
Platelet-type_bleeding_disorder_15	18
Ectodermal_dysplasia_11b	18
Microphthalmia_with_limb_anomalies	18
Ectodermal_dysplasia_and_immunodeficiency_1	18
Cerebral_visual_impairment_and_intellectual_disability	18
Ectopia_lentis_et_pupillae	18
Hypogonadotropic_hypogonadism_12_with_or_without_anosmia	18
Retinitis_pigmentosa_56	18
Abortive_cerebellar_ataxia	18
Left_ventricular_hypertrophy	18
Diarrhea_with_Microvillus_Atrophy	18
Endometrial_Endometrioid_Adenocarcinoma	18
Recurrent_metabolic_encephalomyopathic_crises-rhabdomyolysis-cardiac_arrhythmia-intellectual_disability_syndrome	18
Brain_abnormalities	18
Megalocornea	18
Difficulty_walking	18
Left_ventricular_noncompaction_7	18
Severe_combined_immunodeficiency_due_to_CARMIL2_deficiency	18
Rippling_muscle_disease_2	18
Progressive_familial_intrahepatic_cholestasis	18
Vissers-Bodmer_syndrome	18
Retinal_cone_dystrophy_3A	18
McCune-Albright_syndrome	17
Pachyonychia_congenita_1	17
Renal-hepatic-pancreatic_dysplasia_2	17
Ovarian_carcinoma	17
Relative_macrocephaly	17
Werdnig-Hoffmann_disease	17
Neurohypophyseal_diabetes_insipidus	17
Hypomyelination_with_brainstem_and_spinal_cord_involvement_and_leg_spasticity	17
Expressive_language_delay	17
Susceptibility_to_nonsyndromic_otitis_media	17
Infantile_muscular_hypotonia	17
Developmental_delay_with_short_stature	17
OTX2-Related_Syndromic_Microphthalmia	17
Moyamoya_disease	17
Neurofibroma	17
Asthma	17
Delayed_puberty	17
Optic_atrophy_9	17
Craniosynostosis_4	17
p_phenotype	17
Spermatogenic_failure_4	17
Platelet-type_bleeding_disorder_20	17
Bronchiectasis_with_or_without_elevated_sweat_chloride_3	17
Nizon-Isidor_syndrome	17
CHOPRA-AMIEL-GORDON_SYNDROME	17
Gabriele_de_Vries_syndrome	17
MASA_syndrome	17
Joubert_syndrome_30	17
Mismatch_repair_cancer_syndrome_4	17
Abnormality_of_the_dentition	17
Adams-Oliver_syndrome_6	17
GLUT1_deficiency_syndrome	17
Congenital_muscular_dystrophy-dystroglycanopathy_without_mental_retardation	17
Platelet_abnormalities_with_eosinophilia_and_immune-mediated_inflammatory_disease	17
Bone_fragility_with_contractures	17
Hereditary_mixed_polyposis_syndrome_2	17
Hyperlysinemia	17
Ventriculomegaly	17
Stomatin-deficient_cryohydrocytosis_with_neurologic_defects	17
Centronuclear_Myopathy	17
Weill-Marchesani_syndrome_1	17
Carcinoma	17
Essential_tremor	17
Megalencephalic_leukoencephalopathy_with_subcortical_cysts_2a	17
Enlarged_parietal_foramina	17
Elliptocytosis_3	17
Spinocerebellar_ataxia_type_13	17
Osteofibrous_dysplasia	17
BRCA2-Related_Disorders	17
Thyrotoxic_periodic_paralysis	17
Lissencephaly_5	17
Acrofacial_dysostosis	17
Hydrops	17
Premature_ovarian_failure_15	17
4p_partial_monosomy_syndrome	17
Generalized_tonic-clonic_seizures	17
Megacystis-microcolon-intestinal_hypoperistalsis_syndrome_2	17
Spinocerebellar_ataxia_48	17
Mitochondrial_myopathy	17
Hyperbilirubinemia	17
Neurodevelopmental_disorder_with_impaired_speech_and_hyperkinetic_movements	17
UV-sensitive_syndrome_1	16
Hereditary_sensory_neuropathy_type_1D	16
Atelosteogenesis_type_III	16
Subcortical_laminar_heterotopia	16
Schizencephaly	16
Progressive_sensorineural_hearing_impairment	16
AICAR_transformylase/IMP_cyclohydrolase_deficiency	16
X-Linked_mental_retardation_90	16
Atrial_septal_defect_2	16
Distal_muscle_weakness	16
Spermatogenic_failure_43	16
Autosomal_dominant_isolated_somatotropin_deficiency	16
Autosomal_dominant_intellectual_developmental_disorder_64	16
Neurodevelopmental_disorder_with_central_and_peripheral_motor_dysfunction	16
Adams-Oliver_syndrome_1	16
Low_alkaline_phosphatase	16
Spastic_ataxia_5	16
Optic_nerve_hypoplasia	16
Ritscher-schinzel_syndrome_2	16
Nephrotic_syndrome_type_14	16
Mycobacterium_tuberculosis	16
Al-Raqad_syndrome	16
Familial_hypertrophic_cardiomyopathy_16	16
Menke-Hennekam_syndrome_2	16
Complete_combined_17-alpha-hydroxylase/17	16
Congenital_absence_of_salivary_gland	16
Pretibial_dystrophic_epidermolysis_bullosa	16
Low-set_ears	16
Ataxia-oculomotor_apraxia_3	16
Profound_global_developmental_delay	16
Glutaric_acidemia_type_2A	16
Mega-corpus-callosum_syndrome_with_cerebellar_hypoplasia_and_cortical_malformations	16
Episodic_ataxia_type_9	16
Early-onset_progressive_encephalopathy-hearing_loss-pons_hypoplasia-brain_atrophy_syndrome	16
Filippi_syndrome	16
PERCHING_syndrome	16
Cone-rod_dystrophy_and_hearing_loss_1	16
3-methylglutaconic_aciduria_type_9	16
Mullegama-Klein-Martinez_syndrome	16
Intellectual_developmental_disorder_with_abnormal_behavior	16
Lymphoblastic_leukemia	16
Auditory_neuropathy	16
Terminal_osseous_dysplasia	16
Hematologic_neoplasm	16
Hyperimmunoglobulin_M_syndrome	16
Neurodevelopmental_disorder_with_progressive_microcephaly	16
Cole-Carpenter_syndrome_2	16
Zimmermann-Laband_syndrome_1	16
Rhabdomyolysis	16
Acute_megakaryoblastic_leukemia	16
Hypopigmentation	16
Encephalocraniocutaneous_lipomatosis	16
Spastic_paraplegia_9b	16
Kugelberg-Welander_disease	16
Phosphate_transport_defect	16
Hematuria	16
Pontocerebellar_hypoplasia_type_4	16
Johanson-Blizzard_syndrome	16
Palmoplantar_keratoderma_i	16
Combined_oxidative_phosphorylation_deficiency_21	16
BLOOD_GROUP--LUTHERAN_INHIBITOR	16
Combined_oxidative_phosphorylation_deficiency_18	16
EMG_abnormality	16
MYH7-Related_Disorders	16
Prolonged_QT_interval	16
Brain_malformations_and_urinary_tract_defects	15
Decreased_body_weight	15
Nuclear_pulverulent_cataract	15
Abnormal_platelet_aggregation	15
Congenital_total_pulmonary_venous_return_anomaly	15
Vascular_dementia	15
Multiple_mitochondrial_dysfunctions_syndrome_6	15
BH4-Deficient_Hyperphenylalaninemia	15
Hemolytic_anemia_due_to_glutathione_reductase_deficiency	15
Frontonasal_dysplasia_2	15
Hereditary_nonpolyposis_colorectal_cancer_type_6	15
Avascular_necrosis_of_femoral_head	15
Hypertyrosinemia	15
Anophthalmia	15
Arteriohepatic_dysplasia	15
Hemolytic_anemia_due_to_hexokinase_deficiency	15
Multiple_exostoses_type_1	15
Dilatation_of_ascending_aorta	15
Vesicoureteral_reflux	15
Congenital_lipomatous_overgrowth	15
Renal_cyst	15
Fragile_X_syndrome	15
METHYLMALONIC_ACIDURIA	15
Focal-onset_seizure	15
Immunodeficiency_46	15
Agammaglobulinemia_5	15
Radial_aplasia-thrombocytopenia_syndrome	15
Microspherophakia	15
Joubert_syndrome_33	15
Congenital_heart_defects_and_ectodermal_dysplasia	15
Early_infantile_epileptic_encephalopathy_15	15
Meier-gorlin_syndrome_7	15
Intellectual_developmental_disorder_with_macrocephaly	15
Parkinson_disease_11	15
Abnormality_of_the_genitourinary_system	15
Febrile_seizure_(within_the_age_range_of_3_months_to_6_years)	15
Hypermanganesemia_with_dystonia_2	15
Neurodevelopmental_disorder_with_cerebellar_atrophy_and_with_or_without_seizures	15
Alopecia-intellectual_disability_syndrome_4	15
Pontocerebellar_hypoplasia_type_5	15
Intellectual_developmental_disorder_with_dysmorphic_facies	15
Fatal_infantile_hypertonic_myofibrillar_myopathy	15
Canavan_Disease	15
Aculeiform_cataract	15
Short-rib_thoracic_dysplasia_21_without_polydactyly	15
Neurodevelopmental_disorder_with_dysmorphic_facies	15
Symphalangism	15
Pseudo-TORCH_syndrome_1	15
Ichthyosis_prematurity_syndrome	15
Developmental_and_epileptic_encephalopathy_91	15
EMG:_myopathic_abnormalities	15
Neurodevelopmental_disorder_with_epilepsy	15
maculopathy	15
Griscelli_syndrome_type_1	15
Hypomyelinating_leukodystrophy	15
Dementia	15
Hypogonadotropic_hypogonadism_6_with_or_without_anosmia	15
Permanent_neonatal_diabetes_mellitus_2	15
Loeys-Dietz_syndrome_5	15
Early_infantile_epileptic_encephalopathy_16	15
Pelger-Huët_anomaly	15
Bone_marrow_failure_syndrome_3	15
Polyendocrine-polyneuropathy_syndrome	15
Snijders_blok-fisher_syndrome	15
Cafe-au-lait_spot	15
Deafness_with_labyrinthine_aplasia_microtia_and_microdontia_(LAMM)	15
Glanzmann_thrombasthenia_1	15
Blood_group	15
Weill-Marchesani_syndrome_3	15
Sarcoma	15
Premature_ovarian_failure_8	15
Spastic_tetraplegia	14
Antley-Bixler_syndrome_without_genital_anomalies_or_disordered_steroidogenesis	14
Keratoconus	14
IFAP_syndrome_1	14
Analbuminemia	14
PIK3CA_related_overgrowth_spectrum	14
Anterior_segment_dysgenesis_6	14
Abnormal_cortical_gyration	14
Gastric_cancer	14
Pachyonychia_congenita_2	14
Peripheral_axonal_neuropathy	14
Klippel-Feil_syndrome	14
Temple-Baraitser_syndrome	14
Myeloperoxidase_deficiency	14
Gerstmann-Straussler-Scheinker_syndrome	14
Incontinentia_pigmenti_syndrome	14
Asplenia	14
Keratosis_pilaris	14
Myocardial_infarction	14
Hypogonadotropic_hypogonadism_2_with_anosmia	14
Thromboembolism	14
Fundus_dystrophy	14
Familial_febrile_seizures	14
Multiple_Epiphyseal_Dysplasia	14
Thyroxine-binding_globulin_quantitative_trait_locus	14
Hypogonadotropic_hypogonadism	14
Foveal_hypoplasia_2	14
Cystic_fibrosis_with_helicobacter_pylori_gastritis	14
Immunodeficiency-centromeric_instability-facial_anomalies_syndrome_4	14
Joubert_syndrome_32	14
